Ingredient,Type,Purpose,Skin Type
Isododecane,Solvent/Emollient,"Lightweight, Smooth finish",All skin types
Mica,Colorant,"Adds shimmer, Colorant",All skin types
Hydrogenated Styrene/Isoprene Copolymer,Film-forming Agent,Forms a barrier on skin,All skin types
Cetyl-PEG-PPG-10-1-Dimethicone,Silicone,"Skin conditioning, Emollient",All skin types
Silica,Absorbent,"Absorbs excess oil, Anti-caking","Oily, Combination"
Sodium Chloride,Salt,Viscosity controlling agent,All skin types
Polyglyceryl-4 Isostearate,Emulsifier,Emulsifies and moisturizes,All skin types
Sodium Dehydroacetate,Preservative,Prevents bacterial growth,All skin types
Triethoxycaprylylsilane,Silicone compound,"Skin conditioning, Hydration",All skin types
Tropolone,Preservative,"Antioxidant, Preservative",All skin types
Lecithin,Emollient,"Moisturizing, Skin conditioning",All skin types
Zea Mays Oil (Corn Oil),Plant Extract,"Moisturizing, Skin conditioning",All skin types
Ricinus Communis Seed Oil (Castor Oil),Plant Extract,"Moisturizing, Skin conditioning","Dry, Sensitive"
Ascorbyl Palmitate,Vitamin C Derivative,"Antioxidant, Stable Vitamin C",All skin types
Quercus Suber Bark Extract,Plant Extract,"Anti-inflammatory, Skin soothing",All skin types
Rhamnose,Sugar,"Moisturizing, Skin conditioning",All skin types
Cyclohexasiloxane,Silicone,"Smooth texture, Emollient",All skin types
Alcohol Denat,Solvent/Antiseptic,"Skin conditioning, Preservative",All skin types
Polymethylsilsesquioxane,Silicone,"Film-forming agent, Provides a smooth finish",All skin types
Octyldodecanol,Emollient,"Skin conditioning, Moisturizing","Dry, Sensitive"
Polysilicone-11,Silicone,"Film-forming agent, Smooth finish",All skin types
Pentaerythrityl Tetraethylhexanoate,Emollient,"Skin conditioning, Moisturizing",All skin types
BHT,Antioxidant,Prevents oxidative damage,All skin types
PEG-20,Surfactant/Emulsifier,"Emulsifier, Helps in mixing ingredients",All skin types
Methyl Glucose Sesquistearate,Surfactant/Emulsifier,"Emulsifier, Skin conditioning",All skin types
C13-14 Isoparaffin,Solvent/Emollient,"Skin conditioning, Smooth texture",All skin types
Adenosine,Anti-aging,"Anti-aging, Soothing",All skin types
Poloxamer 338,Surfactant/Emulsifier,"Solubilizer, Helps in mixing ingredients",All skin types
Ammonium Polyacryldimethyltauramide/Ammonium Polyacryloyldimethyl Taurate,Film-forming agent,"Viscosity control, Smooth texture",All skin types
Tocopherol,Vitamin E,"Antioxidant, Skin conditioning",All skin types
Capryloyl Salicylic Acid,Exfoliant,"Anti-inflammatory, Exfoliant",All skin types
Hydrolyzed Hyaluronic Acid,Moisturizer,"Hydrating, Moisturizing",All skin types
Laureth-7,Surfactant/Emulsifier,"Emulsifier, Skin conditioning",All skin types
T-Butyl Alcohol,Solvent,"Solvent, Evaporates quickly",All skin types
Polyacrylamide,Film-forming agent,"Viscosity control, Skin conditioning",All skin types
Dimethyl Isosorbide,Solvent,Enhances absorption of active ingredients,All skin types
Hamamelis Virginiana Water,Botanical Extract,"Astringent, Anti-inflammatory","Oily, Acne-prone"
Tocopherol (D-Alpha),Vitamin E,"Antioxidant, Skin conditioning",All skin types
Fomes Officinalis Extract,Mushroom Extract,"Antioxidant, Moisturizing, Skin conditioning",All skin types
Aloe Barbadensis Leaf Juice Powder,Botanical Extract,"Soothing, Moisturizing, Skin calming","Sensitive, Dry"
Ascorbic Acid (10%),Vitamin C,"Antioxidant, Brightening",All skin types
Methylpropanediol,Solvent,Enhances skin penetration,All skin types
Piper Methysticum Leaf/Root/Stem Extract,Botanical Extract,"Soothing, Anti-inflammatory","Sensitive, Dry"
Oil Soluble Licorice (Glycyrrhiza) Extract,Botanical Extract,"Skin brightening, Anti-inflammatory",All skin types
Panax Ginseng Berry Extract,Botanical Extract,"Anti-aging, Skin rejuvenation",All skin types
Melia Azadirachta Flower Extract,Botanical Extract,"Antibacterial, Soothing","Acne-prone, Oily"
Melia Azadirachta Leaf Extract,Botanical Extract,"Antioxidant, Anti-inflammatory","Oily, Acne-prone"
Curcuma Longa (Turmeric) Root Extract,Botanical Extract,"Anti-inflammatory, Antioxidant",All skin types
Ocimum Sanctum Leaf Extract,Botanical Extract,"Antioxidant, Anti-inflammatory","Sensitive, Dry"
Corallina Officinalis Extract,Marine Extract,"Skin moisturizing, Soothing","Dry, Sensitive"
Hydrogenated Lecithin,Emollient,"Skin conditioning, Hydrating",All skin types
Citrus Aurantium Dulcis (Orange) Oil,Citrus Extract,"Skin brightening, Antioxidant",All skin types
Citrus Nobilis (Mandarin Orange) Peel Oil,Citrus Extract,Skin brightening,All skin types
Litsea Cubeba Fruit Oil,Essential Oil,"Antioxidant, Antibacterial","Oily, Acne-prone"
Sodium Citrate,pH Adjuster,Balances product pH,All skin types
Hydroxypropyl Methylcellulose Stearoxy Ether,Emulsifier,Stabilizes formula,All skin types
Coceth-7,Surfactant,Cleansing agent,All skin types
Ethyl Ascorbyl Ether,Vitamin C,"Antioxidant, Skin brightening",All skin types
Polyquaternium-51,Skin Conditioner,"Moisturizing, Skin conditioning",All skin types
Lysozyme Beta-Glucan,Skin Repair,"Antioxidant, Skin repair",All skin types
Cellulose Gum,Thickening Agent,"Stabilizer, Texture enhancing",All skin types
Adenosine,Anti-aging,"Soothing, Skin rejuvenation",All skin types
Madecassoside,Skin Healing,"Anti-inflammatory, Skin repair","Sensitive, Dry"
Biotin,Vitamin B7,Strengthening,All skin types
Thiamine Hcl,Vitamin B1,Skin health,All skin types
Palmitoyl Pentapeptide-4,Peptide,"Anti-aging, Skin regeneration",All skin types
Folic Acid,Vitamin B9,Skin health,All skin types
Pyridoxine,Vitamin B6,Skin health,All skin types
Cyanocobalamin,Vitamin B12,Skin health,All skin types
PEG-40 Hydrogenated Castor Oil,Emulsifier,"Solvent, Stabilizer",All skin types
PPG-1-PEG-9 Lauryl Glycol Ether,Emulsifier,"Skin conditioning, Stabilizer",All skin types
Limonene,Fragrance Component,"Fragrance, Citrus scent",All skin types
Citral,Fragrance Component,"Fragrance, Citrus scent",All skin types
Panthenol (Vitamin B5),Vitamin B5,"Hydrating, Skin healing",All skin types
Centella Asiatica Extract,Botanical Extract,"Soothing, Skin repair","Sensitive, Dry"
Camellia Sinensis Leaf Extract (Green Tea),Botanical Extract,"Antioxidant, Anti-inflammatory",All skin types
Sodium Hyaluronate,Humectant,"Hydrating, Skin moisturizing",All skin types
Vitis Vinifera Seed Oil,Plant Oil,"Antioxidant, Moisturizing",All skin types
Ascorbyl Tetraisopalmitate,Vitamin C Derivative,"Skin brightening, Anti-aging",All skin types
Rosa Canina Seed Oil,Plant Oil,"Moisturizing, Skin regeneration","Dry, Sensitive"
Limnanthes Alba (Meadowfoam) Seed Oil,Plant Oil,"Moisturizing, Skin conditioning","Dry, Sensitive"
Squalane,Plant-derived Oil,"Moisturizing, Skin barrier repair",All skin types
Adansonia Digitata Oil (Baobab Oil),Plant Oil,"Nourishing, Skin elasticity",All skin types
Opuntia Ficus-Indica Seed Oil (Prickly Pear Oil),Plant Oil,"Hydrating, Antioxidant",All skin types
Tocopherol (Vitamin E),Vitamin E,"Antioxidant, Skin conditioning",All skin types
Ascorbyl Palmitate,Vitamin C Derivative,"Antioxidant, Skin brightening",All skin types
Ascorbic Acid,Vitamin C,"Skin brightening, Anti-aging",All skin types
Citric Acid,Acid,pH adjuster,All skin types
Parfum,Fragrance,Scent,All skin types
PEG-8,Humectant,Skin conditioning,All skin types
Ascorbic Acid (L-Ascorbic Acid),Vitamin C,"Skin brightening, Anti-aging",All skin types
Ascorbic Acid 2 Glucoside,Vitamin C Derivative,"Skin brightening, Stabilized Vitamin C",All skin types
Sodium Hyaluronate (Low Molecular Hyaluronic Acid),Hydrating Agent,"Hydrating, Skin plumping",All skin types
Ferulic Acid,Antioxidant,"Skin protection, Anti-aging",All skin types
Sorbitol,Humectant,"Skin conditioning, Hydrating",All skin types
Bisabolol,Plant-derived,"Soothing, Anti-inflammatory","Sensitive, Irritated"
Caprylic/Capric Triglyceride,Emollient,"Skin conditioning, Moisturizing",All skin types
Isododecane,Solvent,"Skin conditioning, Solvent",All skin types
Cyclodextrin,Encapsulation Agent,"Skin conditioning, Stabilizer",All skin types
Cetearyl Olivate,Emulsifier,"Emulsifier, Skin conditioning",All skin types
Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Stabilizer,"Stabilizer, Thickener",All skin types
Cetearyl Alcohol,Emulsifier,"Emulsifier, Skin conditioning",All skin types
Sorbitan Olivate,Emulsifier,"Emulsifier, Skin conditioning",All skin types
Tocopheryl Acetate,Vitamin E,"Antioxidant, Skin conditioning",All skin types
Squalane,Emollient,"Moisturizing, Skin conditioning","Dry, Sensitive"
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Stabilizer,"Stabilizer, Thickener",All skin types
Hydroxyacetophenone,Antioxidant,"Skin conditioning, Antioxidant",All skin types
Rubus Chamaemorus Seed Oil,Emollient,"Skin conditioning, Antioxidant",All skin types
3-O-Ethyl Ascorbic Acid,Stable Vitamin C,"Skin brightening, Antioxidant",All skin types
Daucus Carota Sativa (Carrot) Seed Oil,Skin conditioning,"Antioxidant, Skin conditioning",All skin types
Retinal,Vitamin A Derivative,"Anti-aging, Skin rejuvenation",All skin types
Tetrahexyldecyl Ascorbate,Stable Vitamin C,"Skin brightening, Antioxidant",All skin types
Alumina,Absorbent,Antioxidant,"Oily, Acne-prone"
Isostearic Acid,Emollient,"Skin conditioning, Stabilizer","Dry, Sensitive"
Lecithin,Emulsifier,"Emollient, Emulsifier",All skin types
Polyglyceryl-3 Polyricinoleate,Emulsifier,"Skin conditioning, Emulsifier",All skin types
Lonicera Japonica (Honeysuckle) Flower Extract,Antioxidant,"Anti-inflammatory, Skin soothing","Sensitive, Dry"
Lonicera Caprifolium (Honeysuckle) Flower Extract,Antioxidant,"Anti-inflammatory, Skin soothing","Sensitive, Dry"
Polyhydroxystearic Acid,Emulsifier,"Stabilizer, Skin conditioning",All skin types
Disodium EDTA,Chelating Agent,"Stabilizer, Enhances efficacy of preservatives",All skin types
Stearic Acid,Emollient,"Stabilizer, Skin conditioning",All skin types
Ethylhexylglycerin,Preservative,"Skin conditioning, Preservative",All skin types
Polysorbate 60,Emulsifier,"Surfactant, Emulsifier",All skin types
Sorbitan Isostearate,Emulsifier,Emulsifier,All skin types
BHT,Antioxidant,"Preservative, Antioxidant",All skin types
Vanilla Planifolia Fruit Extract,"Antioxidant, Fragrance","Skin soothing, Fragrance",All skin types
Sodium Polyaspartate,Skin Conditioning,"Humectant, Skin conditioning",All skin types
Dipteryx Odorata Bean Extract,Skin conditioning,"Fragrance, Skin soothing",All skin types
Coumarin,Fragrance Ingredient,Fragrance,All skin types
Red 4 (CI 16035),Colorant,Colorant,All skin types
Titanium Dioxide (CI 77891),"Sunscreen, Colorant","UV protection, Colorant",All skin types
Glycereth-26,Humectant,"Skin conditioning, Moisturizing",All skin types
Cetyl Ethylhexanoate,Emollient,"Skin conditioning, Moisturizing","Dry, Sensitive"
Polyglyceryl-3 Methylglucose Distearate,Emulsifier,"Skin conditioning, Emulsifying agent",All skin types
Sorbitan Olivate,Emulsifier,"Skin conditioning, Emulsifier",All skin types
Cetearyl Olivate,Emulsifier,"Skin conditioning, Emulsifier",All skin types
Persea Gratissima (Avocado) Oil,Emollient,"Skin conditioning, Moisturizing","Dry, Sensitive"
Cocos Nucifera (Coconut) Oil,Emollient,"Skin conditioning, Moisturizing","Dry, Sensitive"
Helianthus Annuus (Sunflower) Seed Oil,Emollient,"Skin conditioning, Moisturizing",All skin types
Cucumis Sativus (Cucumber) Fruit Extract,Skin conditioning,"Soothing, Anti-inflammatory","Sensitive, Dry"
Calendula Officinalis Flower Extract,Anti-inflammatory,"Skin soothing, Anti-inflammatory","Sensitive, Dry"
Lens Esculenta (Lentil) Seed Extract,Skin conditioning,Antioxidant,All skin types
Glycyrrhiza Glabra (Licorice) Root Extract,Skin brightening,"Anti-inflammatory, Skin soothing","Sensitive, Dry"
Camellia Sinensis Leaf Extract,Antioxidant,"Anti-inflammatory, Skin soothing",All skin types
Rosmarinus Officinalis (Rosemary) Leaf Extract,Antioxidant,"Skin soothing, Anti-inflammatory","Oily, Acne-prone"
Centella Asiatica Extract,Skin healing,"Anti-inflammatory, Skin rejuvenation","Sensitive, Dry"
Chamomilla Recutita (Matricaria) Flower Extract,Anti-inflammatory,"Skin soothing, Anti-inflammatory","Sensitive, Dry"
Scutellaria Baicalensis Root Extract,Antioxidant,Anti-inflammatory,All skin types
Polygonum Cuspidatum Root Extract,Antioxidant,Anti-aging,All skin types
Hydrolyzed Jojoba Esters,Skin conditioning,"Moisturizing, Skin conditioning",All skin types
Jojoba Esters,Skin conditioning,"Moisturizing, Skin conditioning",All skin types
Cymbopogon Citratus Leaf Oil,Antioxidant,"Fragrance, Skin conditioning",All skin types
Tocopherol,Vitamin E,Antioxidant,All skin types
Tocopheryl Acetate,Vitamin E,Antioxidant,All skin types
Mica,Colorant,"Opacifying agent, Colorant",All skin types
Silica,Absorbent,"Anti-caking agent, Absorbent","Oily, Acne-prone"
Glyceryl Stearate,Emulsifier,"Skin conditioning, Emulsifier",All skin types
Arginine,Amino acid,"Skin conditioning, Moisturizing",All skin types
Glycerin,Humectant,"Skin conditioning, Moisturizing",All skin types
"1,2-Hexanediol",Humectant,"Preservative, Skin conditioning",All skin types
Caprylyl Glycol,Emollient,"Skin conditioning, Preservative",All skin types
Butylene Glycol,Humectant,"Skin conditioning, Moisturizing",All skin types
Carbomer,Thickener,"Stabilizer, Thickener",All skin types
Phenoxyethanol,Preservative,Preservative,All skin types
Ethoxydiglycol,Solvent,"Skin conditioning, Solvent",All skin types
Azelaic Acid,Active Ingredient,"Skin brightening, Anti-inflammatory",All skin types
Glyceryl Glucoside,Humectant,"Skin conditioning, Moisturizing",All skin types
Squalane,Emollient,"Skin conditioning, Moisturizing",All skin types
Bisabolol,Anti-inflammatory,"Skin soothing, Healing","Sensitive, Dry"
Allantoin,Skin soothing,"Healing, Skin conditioning","Sensitive, Dry"
Ammonium Acryloyldimethyltaurate/VP Copolymer,"Stabilizer, Film-forming","Stabilizer, Film-forming agent",All skin types
Valine,Amino acid,Skin conditioning,All skin types
Proline,Amino acid,Skin conditioning,All skin types
Lysine,Amino acid,Skin conditioning,All skin types
Serine,Amino acid,Skin conditioning,All skin types
Sorbitan Caprylate,Emulsifier,"Skin conditioning, Emulsifier",All skin types
"1,2 Propanediol",Humectant,"Solvent, Moisturizing",All skin types
Benzoic Acid,Preservative,"Antimicrobial, Preservative",All skin types
Methyl Gluceth-20,Humectant,"Skin conditioning, Moisturizing",All skin types
Trehalose,Humectant,"Moisturizing, Skin conditioning",All skin types
Zinc Gluconate,Skin conditioning,"Anti-inflammatory, Skin conditioning",All skin types
Chlorphenesin,Preservative,"Antimicrobial, Preservative",All skin types
Aminomethyl Propanol,pH Adjuster,"pH Adjuster, Skin conditioning",All skin types
Biosaccharide Gum-2,Moisturizer,"Moisturizing, Skin soothing","Dry, Sensitive"
Polygonum Cuspidatum Root Extract,Antioxidant,"Anti-inflammatory, Antioxidant",All skin types
Scutellaria Baicalensis Root Extract,Antioxidant,"Anti-inflammatory, Antioxidant",All skin types
Camellia Sinensis Leaf Extract,Antioxidant,"Skin soothing, Antioxidant",All skin types
Glycyrrhiza Glabra Root Extract,Skin soothing,"Anti-inflammatory, Skin soothing","Sensitive, Dry"
Chamomilla Recutita Flower Extract,Skin soothing,"Anti-inflammatory, Skin soothing","Sensitive, Dry"
Rosmarinus Officinalis Leaf Extract,Antioxidant,"Antimicrobial, Antioxidant",All skin types
Sodium Benzoate,Preservative,"Antimicrobial, Preservative",All skin types
Potassium Sorbate,Preservative,"Antimicrobial, Preservative",All skin types
Disodium EDTA,Chelating Agent,"Stabilizer, Prevents product degradation",All skin types
PEG/PPG-14/7 Dimethyl Ether,"Emollient, Solvent","Skin Conditioning, Solvent",All skin types
Gentiana Scabra Root Extract,Botanical Extract,"Soothing, Anti-inflammatory","Sensitive, Dry"
Avena Sativa (Oat) Kernel Extract,Plant Extract,"Moisturizing, Soothing, Sensitive","Sensitive, Dry"
Yeast Extract,Skin Conditioning,"Soothing, Moisturizing",Sensitive
Crocus Sativus Flower Extract,Botanical Extract,"Antioxidant, Anti-inflammatory, Brightening",All skin types
Alpha-Arbutin,Active Ingredient,"Skin Brightening, Lightening",All skin types
Ceramide NP,Lipid,Skin Barrier Repair,"Dry, Sensitive"
Avena Sativa (Oat) Kernel Oil,Oil,"Soothing, Moisturizing","Dry, Sensitive"
Sphingolipids,Lipid,Skin Barrier Repair,"Dry, Sensitive"
Ceramide AS,Lipid,Skin Barrier Repair,"Dry, Sensitive"
Ceramide AP,Lipid,Skin Barrier Repair,"Dry, Sensitive"
Ceramide NS,Lipid,Skin Barrier Repair,"Dry, Sensitive"
Ceramide NG,Lipid,Skin Barrier Repair,"Dry, Sensitive"
Bis-PEG-18 Methyl Ether Dimethyl Silane,"Emollient, Skin Conditioning","Skin Softening, Conditioning",All skin types
Sodium Polyacryloyldimethyl Taurate,"Thickener, Skin Conditioning","Skin Softening, Stabilizer",All skin types
Hydrogenated Lecithin,"Emollient, Lipid",Skin Barrier Repair,"Dry, Sensitive"
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Thickener, Stabilizer",Texture Enhancer,All skin types
Isohexadecane,"Emollient, Solvent","Skin Softening, Solvent",All skin types
Tranexamic Acid,Active Ingredient,"Skin Brightening, Anti-inflammatory",All skin types
Fructose,Humectant,Moisturizing,"Dry, Sensitive"
Aminomethyl Propanol,pH Adjuster,pH Balancer,All skin types
PEG-7 Glyceryl Cocoate,"Surfactant, Emulsifier","Emulsifying, Cleansing",All skin types
Phosphatidylcholine,Lipid,"Skin Conditioning, Moisturizing","Dry, Sensitive"
Phytosterols,Lipid,Skin Barrier Repair,"Dry, Sensitive"
Sodium Stearoyl Glutamate,"Surfactant, Emulsifier","Cleansing, Emulsifying",All skin types
Hydroxyacetophenone,"Antioxidant, Skin Conditioning","Antioxidant, Soothing",All skin types
Caprylhydroxamic Acid,"Preservative, Antimicrobial",Preservative,All skin types
Soy Amino Acids,Skin Conditioning,"Hydrating, Softening","Dry, Sensitive"
Chlorphenesin,"Preservative, Antimicrobial",Preservative,All skin types
Ethylhexylglycerin,"Preservative, Skin Conditioning","Preservative, Skin Softening",All skin types
Deionized Water,Solvent,Solvent,All skin types
Sodium PCA,Humectant,"Moisturizing, Hydrating","Dry, Sensitive"
Saccharide Isomerate,Humectant,"Moisturizing, Hydrating","Dry, Sensitive"
Betaine,Humectant,"Moisturizing, Anti-irritant",All skin types
Hydroxyethyl Urea,Humectant,"Skin Conditioning, Hydrating","Dry, Sensitive"
Polyacrylate Crosspolymer-6,"Thickener, Stabilizer","Stabilizer, Texture Enhancer",All skin types
Hydroxyethyl Acrylate,Skin Conditioning,"Stabilizer, Conditioning",All skin types
Sodium Acryloyldimethyl Taurate Copolymer,"Stabilizer, Skin Conditioning","Stabilizer, Skin Softening",All skin types
Ammonium Polyacryloyldimethyl Taurate,"Stabilizer, Thickener","Texture Enhancer, Stabilizer",All skin types
Dipropylene Glycol,"Solvent, Humectant","Moisturizing, Skin Conditioning",All skin types
Coconut Acid,"Emollient, Skin Conditioning","Softening, Moisturizing",All skin types
Boswellia Serrata Gum,"Skin Conditioning, Anti-inflammatory","Soothing, Reduces Inflammation","Sensitive, Dry"
Cymbopogon Schoenanthus Oil,"Fragrance, Skin Conditioning","Fragrance, Refreshing",All skin types
Alcohol Denat,"Solvent, Antiseptic",Used for formulation stability and as an antiseptic,All skin types
Ammonium Hydroxide,pH Adjuster,Used to adjust pH in formulations,All skin types
PEG/PPG-22/24 Dimethicone,"Emollient, Skin Conditioning","Skin conditioning, Softening",All skin types
Polysorbate 80,"Emulsifier, Surfactant",Stabilizes emulsions and enhances skin penetration,All skin types
Hydroxyethyl Ethylcellulose,"Film Former, Thickener","Thickening agent, Improves texture",All skin types
Citrus Aurantium Dulcis Extract,"Antioxidant, Skin Conditioning","Antioxidant, Brightening",All skin types
Thioctic Acid,"Antioxidant, Skin Conditioning","Antioxidant, Skin Barrier Support",All skin types
Methylparaben,Preservative,Prevents microbial growth in formulations,All skin types
Butylparaben,Preservative,Prevents microbial growth in formulations,All skin types
Ethylparaben,Preservative,Prevents microbial growth in formulations,All skin types
Propylparaben,Preservative,Prevents microbial growth in formulations,All skin types
Isobutylparaben,Preservative,Prevents microbial growth in formulations,All skin types
Octyldodecanol,"Emollient, Solvent",Softens and moisturizes skin,All skin types
Cetearyl Alcohol,"Emollient, Emulsifier",Emulsifies and softens skin,All skin types
Canola Oil,"Emollient, Skin Conditioning",Moisturizes and nourishes skin,All skin types
Urea,"Humectant, Skin Conditioning",Moisturizes and conditions skin,"Dry, sensitive"
Cetearyl Glucoside,Emulsifier,Helps form stable emulsions,All skin types
Cetearyl Isononanoate,"Emollient, Skin Conditioning",Enhances smoothness and softness,All skin types
Olea Europaea (Olive) Oil Unsaponifiables,Skin Conditioning,Skin nourishment and conditioning,All skin types
Glyceryl Stearate,"Emulsifier, Skin Conditioning",Emulsifies and softens skin,All skin types
Galactoarabinan,"Skin Conditioning, Film-forming Agent",Enhances skin barrier,All skin types
Vitis Vinifera (Grape) Fruit Extract,"Antioxidant, Skin Conditioning",Protects skin from oxidative stress,All skin types
Brassica Campestris (Rapeseed) Sterols,Skin Conditioning,Supports skin barrier and moisturization,All skin types
Esculin,"Antioxidant, Skin Conditioning",Soothes and protects skin,All skin types
Lecithin,"Emollient, Emulsifier, Skin Conditioning",Softens and nourishes skin,All skin types
Carbomer,"Thickener, Stabilizer",Thickens and stabilizes formulations,All skin types
Ammonium Acryloyldimethyltaurate/VP Copolymer,"Thickener, Stabilizer",Stabilizes emulsions and thickeners,All skin types
Tannic Acid,"Antioxidant, Astringent",Protects from free radicals and tightens skin,All skin types
Ammonia,pH Adjuster,Adjusts pH to enhance product effectiveness,All skin types
Sodium Cetearyl Sulfate,"Surfactant, Emulsifier",Cleanses and emulsifies,All skin types
Ascorbyl Palmitate,Antioxidant,Protects skin from oxidative stress,All skin types
Dehydroacetic Acid,Preservative,Prevents microbial growth,All skin types
Hydrogenated Palm Glycerides Citrate,Emollient,Softens and moisturizes skin,All skin types
Potassium Metabisulfite,"Antioxidant, Preservative",Protects products from oxidation,All skin types
Riboflavin,"Vitamin, Skin Conditioning",Provides nourishment and improves skin tone,All skin types
Propylene Glycol,"Humectant, Solvent",Moisturizes and acts as a carrier for active ingredients,All skin types
Zinc Sulfate,"Astringent, Skin Conditioning",Tightens and soothes skin,"Oily, Acne-prone"
Bioflavonoids,"Antioxidant, Anti-inflammatory",Protects from oxidative stress and soothes irritation,All skin types
"1,3-Propanediol","Solvent, Humectant",Moisturizes and acts as a carrier for active ingredients,All skin types
Sodium Magnesium Silicate,"Absorbent, Thickening agent",Absorbs excess oil and thickens formulations,"Oily, Acne-prone"
Sodium Ascorbyl Phosphate,"Antioxidant, Vitamin C derivative","Antioxidant, brightens and protects the skin",All skin types
Magnesium Ascorbyl Phosphate,"Antioxidant, Vitamin C derivative",Protects against oxidative stress and brightens skin,All skin types
Arrabidaea Chica Leaf Extract,"Antioxidant, Anti-inflammatory",Protects the skin and soothes irritation,"Sensitive, Dry"
Sodium Ascorbate,"Antioxidant, Vitamin C derivative","Brightens, protects, and improves skin texture",All skin types
Phenylpropanol,"Antimicrobial, Skin conditioning","Preservative, helps maintain skin's moisture",All skin types
P Anisic Acid,"Preservative, Skin conditioning",Preserves and soothes the skin,All skin types
Magnesium Chloride,"Skin conditioning, Soothing",Soothes and conditions the skin,"Sensitive, Dry"
Sodium Citrate,"pH adjuster, Chelating agent",Adjusts the pH of formulations and improves stability,All skin types
Sodium Hydroxide,"pH adjuster, Neutralizer",Balances the pH of formulations,All skin types
Silanetriol,"Moisturizing, Anti-aging",Hydrates and improves skin elasticity,All skin types
Ubiquinone,"Antioxidant, Anti-aging",Prevents oxidative stress and boosts collagen production,All skin types
Lactic Acid,"Exfoliant, pH adjuster",Exfoliates and maintains pH balance,All skin types
Methylisothiazolinone,"Preservative, Antimicrobial",Preserves and prevents bacterial growth,All skin types
Polysorbate 20,"Surfactant, Emulsifier",Helps dissolve oils and mix ingredients in formulations,All skin types
PEG-40 Hydrogenated Castor Oil,"Emulsifier, Solubilizer",Helps dissolve ingredients and stabilize emulsions,All skin types
Perfume,Fragrance,Adds fragrance to the product,All skin types
Solanum Lycopersicum (Tomato) Fruit Extract,"Antioxidant, Skin-conditioning",Reduces skin irritation and fights free radicals,"Sensitive, Oily"
Betaine,"Humectant, Skin conditioning",Retains moisture and improves skin hydration,All skin types
3-O-Ethyl Ascorbic Acid,"Stable Vitamin C, Antioxidant",Provides brightening and antioxidant protection,All skin types
Rubus Fruticosus (Blackberry) Fruit Extract,"Antioxidant, Skin conditioning",Protects skin from free radicals and nourishes,All skin types
Rubus Idaeus (Raspberry) Fruit Extract,"Antioxidant, Skin conditioning",Protects skin from free radicals and nourishes,All skin types
"1,2-Hexanediol","Humectant, Solvent",Helps dissolve ingredients and retain moisture,All skin types
Hydroxyacetophenone,"Antioxidant, Skin conditioning",Reduces oxidative stress and supports skin health,"Sensitive, Dry"
Dipotassium Glycyrrhizate,"Anti-inflammatory, Soothing",Reduces irritation and calms the skin,Sensitive skin
PPG-5-Ceteth-20,"Emulsifier, Surfactant",Helps in emulsifying and mixing water and oil,All skin types
Bis-Glyceryl Ascorbate,"Stable Vitamin C derivative, Antioxidant",Provides antioxidant protection and brightening,All skin types
Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate,"Fermented ingredients, Skin conditioning",Enhances skin hydration and barrier function,"Dry, Sensitive"
Ascorbyl Tetraisopalmitate,"Stable Vitamin C derivative, Antioxidant",Provides antioxidant protection and brightening,All skin types
Angelica Acutiloba Root Extract,"Skin soothing, Anti-inflammatory",Reduces irritation and calms the skin,"Sensitive, Dry"
Callicarpa Japonica Fruit Extract,"Antioxidant, Skin brightening",Protects skin from free radicals and brightens skin,All skin types
Prunus Mume Fruit Extract,"Antioxidant, Skin conditioning",Protects skin from oxidative stress and nourishes,All skin types
Crataegus Cuneata Fruit Extract,"Antioxidant, Skin soothing",Reduces oxidative stress and calms the skin,"Sensitive, Dry"
Pyrus Malus (Apple) Fruit Extract,"Antioxidant, Skin conditioning",Protects skin and promotes a healthy glow,All skin types
Citrus Paradisi (Grapefruit) Fruit Extract,"Antioxidant, Skin brightening",Promotes skin brightening and provides antioxidant protection,All skin types
Citrus Aurantium Dulcis (Orange) Juice,"Antioxidant, Skin conditioning",Refreshes and nourishes skin while providing antioxidants,All skin types
Citrus Limon (Lemon) Juice,"Antioxidant, Skin brightening",Brightens skin and evens out complexion,All skin types
Citrus Aurantifolia (Lime) Juice,"Antioxidant, Skin conditioning",Refreshes and nourishes skin,"Oily, Combination"
Artemisia Capillaris Flower Extract,"Antioxidant, Anti-inflammatory",Soothes and reduces inflammation,"Sensitive, Dry"
Morus Alba Root Extract,"Antioxidant, Skin brightening",Protects against environmental stress and brightens skin,All skin types
Ziziphus Jujuba Fruit Extract,"Antioxidant, Skin soothing",Calms and soothes sensitive skin,Sensitive skin
Sodium Citrate,pH adjuster,Balances the product?s pH,All skin types
Ammonium Acryloyldimethyltaurate/Carboxyethyl Acrylate Crosspolymer,"Emulsifier, Stabilizer",Stabilizes formulas and enhances texture,All skin types
PPG-6-Decyltetradeceth-30,"Emulsifier, Solubilizer",Aids in solubilizing oils in water-based formulas,All skin types
Sodium Lactate,"Humectant, Skin conditioning","Attracts moisture to skin, keeps skin hydrated",All skin types
Hydroxyethylcellulose,"Thickener, Stabilizer",Thickens formulations and stabilizes them,All skin types
